user_id,first_name,user_name,message,reply
1255194298,Souvik,Souvik_01,hello,
1255194298,Souvik,Souvik_01,hello,
1255194298,Souvik,Souvik_01,hii,
1255194298,Souvik,Souvik_01,hii,
1255194298,Souvik,Souvik_01,hi,
1255194298,Souvik,Souvik_01,hi,
1255194298,Souvik,Souvik_01,bye,
1255194298,Souvik,Souvik_01,tell me a joke,
1255194298,Souvik,Souvik_01,hioi,
1255194298,Souvik,Souvik_01,hi,
1255194298,Souvik,Souvik_01,hello,
1924381524,Ritwija,Ritwijaaa,Hiii,
1924381524,Ritwija,Ritwijaaa,O,
1293850303,HRC50657W_Pratyusha,None,How are you?,
1293850303,HRC50657W_Pratyusha,None,Can you make a cup of coffee?,
1293850303,HRC50657W_Pratyusha,None,Okayy,
1293850303,HRC50657W_Pratyusha,None,Thanks,
1293850303,HRC50657W_Pratyusha,None,No one understands me,
1293850303,HRC50657W_Pratyusha,None,You r so kind,
1293850303,HRC50657W_Pratyusha,None,I love you,
1293850303,HRC50657W_Pratyusha,None,Don't you love me back?,
1293850303,HRC50657W_Pratyusha,None,U need money to love me back?,
1293850303,HRC50657W_Pratyusha,None,I don't 😑 break up,
1106780716,Atrij,None,Hi,
1106780716,Atrij,None,How are you,
1106780716,Atrij,None,Tell me a joke,
1106780716,Atrij,None,Lol,
1106780716,Atrij,None,What can you do,
1106780716,Atrij,None,Give,
1106780716,Atrij,None,What?,
1106780716,Atrij,None,?,
1255194298,Souvik_01,Souvik,hii,I understand ψ(._. )>
1255194298,Souvik_01,Souvik,hi,"Hello, thanks for visiting"
1382947984,None,Rupam,bol vro ki,I understand ψ(._. )>
1382947984,None,Rupam,what u want to understand,I understand ψ(._. )>
1382947984,None,Rupam,what to erite,I understand ψ(._. )>
1382947984,None,Rupam,what to write,I understand ψ(._. )>
1382947984,None,Rupam,tell me a funny thing,What did the buffalo say when his son left for college? Bison.
1382947984,None,Rupam,what is you name,"Hi there, what can I do for you?"
1382947984,None,Rupam,what do you have,We sell coffee and tea
1382947984,None,Rupam,can I have a cup of coffee,"We accept VISA, Mastercard and Paypal"
1382947984,None,Rupam,I have mastercard,"We accept most major credit cards, and Paypal"
1382947984,None,Rupam,how much I need to pay,"Hi there, how can I help?"
1382947984,None,Rupam,what is the price of 1 cup coffee,I understand ψ(._. )>
1382947984,None,Rupam,😒😒,I understand ψ(._. )>
1382947984,None,Rupam,edit replies bro,I understand ψ(._. )>
1382947984,None,Rupam,fackouf,I understand ψ(._. )>
1286218522,Diptangshu_BenTennison,Diptangshu,Hello mental,Hey :-)
1286218522,Diptangshu_BenTennison,Diptangshu,Hii,I understand ψ(._. )>
1286218522,Diptangshu_BenTennison,Diptangshu,What's up,I understand ψ(._. )>
1255194298,Souvik_01,Souvik,Tell me a joke,What did the buffalo say when his son left for college? Bison.
1255194298,Souvik_01,Souvik,hi,"Hi there, how can I help?"
1255194298,Souvik_01,Souvik,lol,I understand ψ(._. )>
5556310681,None,Tultul,Tell me a joke,Why did the hipster burn his mouth? He drank the coffee before it was cool.
5556310681,None,Tultul,Haha😂,I understand ψ(._. )>
5455744371,None,Vicky,Hi,"Hi there, what can I do for you?"
5455744371,None,Vicky,Tell me a joke,What did the buffalo say when his son left for college? Bison.
5455744371,None,Vicky,Tell me a joke,What did the buffalo say when his son left for college? Bison.
985250949,jishanAlii,007,Ki bara a,I understand ψ(._. )>
985250949,jishanAlii,007,Fucking,I understand ψ(._. )>
985250949,jishanAlii,007,Fuck,I understand ψ(._. )>
985250949,jishanAlii,007,Suck my dick,I understand ψ(._. )>
1293850303,None,Pratyusha,Hlw,I understand ψ(._. )>
1293850303,None,Pratyusha,No u don't,I understand ψ(._. )>
1293850303,None,Pratyusha,"Will you go for a walk with me,",I understand ψ(._. )>
1293850303,None,Pratyusha,?,I understand ψ(._. )>
1293850303,None,Pratyusha,Hi,"Hi there, how can I help?"
1293850303,None,Pratyusha,A cup of tea,I understand ψ(._. )>
1348623219,None,Hrisav,Okay,I understand ψ(._. )>
1348623219,None,Hrisav,Did u?,I understand ψ(._. )>
1348623219,None,Hrisav,What?,I understand ψ(._. )>
1348623219,None,Hrisav,No u didn't,I understand ψ(._. )>
1348623219,None,Hrisav,U never do,I understand ψ(._. )>
1348623219,None,Hrisav,Nooooo😭,I understand ψ(._. )>
1298997255,Sayannhi,HRCDAS22_Sayannhi Das,Hello,Hey :-)
1298997255,Sayannhi,HRCDAS22_Sayannhi Das,How do you do,"Hi there, how can I help?"
1298997255,Sayannhi,HRCDAS22_Sayannhi Das,How are you,"Hi there, how can I help?"
1298997255,Sayannhi,HRCDAS22_Sayannhi Das,You have this much knowledge only?🙂,"We accept most major credit cards, and Paypal"
1298997255,Sayannhi,HRCDAS22_Sayannhi Das,Wow,I understand ψ(._. )>
1298997255,Sayannhi,HRCDAS22_Sayannhi Das,Enjoy,I understand ψ(._. )>
1298997255,Sayannhi,HRCDAS22_Sayannhi Das,Stay blessed,I understand ψ(._. )>
1298997255,Sayannhi,HRCDAS22_Sayannhi Das,Where are you from,Hey :-)
1298997255,Sayannhi,HRCDAS22_Sayannhi Das,Oh god,I understand ψ(._. )>
1298997255,Sayannhi,HRCDAS22_Sayannhi Das,Go and sleep,I understand ψ(._. )>
1298997255,Sayannhi,HRCDAS22_Sayannhi Das,What do you know about English language?,We sell coffee and tea
1298997255,Sayannhi,HRCDAS22_Sayannhi Das,Where?🙂,I understand ψ(._. )>
